WallIDX	TGTConc	PrjFlux	EroFlux_w_by_d	EroFluxPartial_w_by_d
55	4.16538e-23	5.7596	-2.78438e-55	-6.68457e-33
56	2.07513e-23	3.01469	-1.11041e-55	-5.35105e-33
57	4.79403e-24	3.00184	5.45351e-60	1.13756e-36
58	-6.0752e-25	5.32994	4.46949e-61	-7.35695e-37
59	-1.37807e-24	8.45283	4.45699e-72	-3.23422e-48
60	-1.80618e-22	13.7351	1.05207e-45	-5.82482e-24
61	1.53238e-22	8.72894	3.72768e-56	2.43261e-34
62	-7.5923e-21	5.9071	1.40537e-44	-1.85104e-24
63	-8.02974e-22	6.02396	2.2533e-45	-2.80619e-24
64	1.53193e-22	9.00792	-7.38851e-47	-4.82299e-25
65	-9.68705e-22	13.3722	-1.58251e-45	1.63364e-24
66	1.19766e-21	16.5507	-1.54272e-44	-1.28811e-23
67	-3.53845e-21	16.9798	-1.52376e-44	4.30631e-24
68	2.81051e-22	15.0854	1.37068e-46	4.87698e-25
69	-1.7905e-22	10.2214	7.18605e-46	-4.01344e-24
70	5.71088e-23	5.4742	-2.02919e-46	-3.5532e-24
71	-5.01208e-22	2.76489	6.8534e-44	-1.36738e-22
72	2.14676e-23	2.71832	2.13569e-54	9.94844e-32
73	4.18128e-24	5.02115	1.73803e-58	4.15669e-35
74	9.94172e-25	8.19662	5.76527e-72	5.79907e-48
75	1.08613e-22	13.8928	-1.93299e-45	-1.7797e-23
76	-4.23675e-22	8.89351	1.56389e-55	-3.69125e-34
77	1.82498e-20	6.0081	7.63547e-45	4.18387e-25
78	7.03857e-22	6.08708	-6.0563e-46	-8.60444e-25
79	-6.2136e-23	9.02714	-1.62534e-47	2.61578e-25
80	-6.21695e-23	13.3826	5.45588e-47	-8.77582e-25
81	1.6202e-22	16.6333	-4.14957e-46	-2.56114e-24
82	7.73232e-23	17.0166	2.76447e-47	3.57521e-25
83	-2.9467e-24	15.1867	3.05743e-47	-1.03758e-23
84	7.25243e-23	10.3578	-1.22504e-45	-1.68914e-23
85	-1.52619e-21	5.5398	7.11904e-45	-4.66457e-24
86	7.11833e-23	2.78787	3.67413e-52	5.1615e-30
87	1.32493e-23	2.74088	6.48797e-60	4.89683e-37
88	4.96979e-24	5.05747	-1.09544e-71	-2.20419e-48
89	5.19486e-24	8.23544	-6.00642e-71	-1.15622e-47
90	0.824996	1682.85	-4.73263e-22	-5.73655e-22
91	0.733935	53.2958	-3.50271e-24	-4.7725e-24
92	0.81526	1.18757	-2.42243e-28	-2.97136e-28
93	0.982029	1.18757	-3.51206e-27	-3.57633e-27
