WallIDX	Tgt	Prj	Chrg	Value
7	al	d	1	0.0148163
7	al	n	0	0.00290215
7	al	n	1	0.0783399
7	al	n	2	0.201381
7	al	n	3	0.338171
7	al	w	0	-1.4381e-25
7	al	w	1	0.00394555
7	al	w	2	0.0234011
7	al	w	3	0.0682619
7	n	al	0	0.00520978
7	n	al	1	0.0566949
7	n	al	2	0.124795
7	n	al	3	0.192744
7	n	d	0	0.0015682
7	n	d	1	0.0153532
7	n	n	0	0.00729684
7	n	n	1	0.066513
7	n	n	2	0.137993
7	n	n	3	0.204896
7	n	w	0	4.09438e-06
7	n	w	1	0.00305226
7	n	w	2	0.0149989
7	n	w	3	0.0384657
7	w	al	0	0
7	w	al	1	-1.10471e-30
7	w	al	2	-1.9396e-29
7	w	al	3	-1.08247e-28
7	w	d	0	0
7	w	d	1	-6.91244e-26
7	w	n	0	0
7	w	n	1	-3.71603e-31
7	w	n	2	-1.14371e-29
7	w	n	3	-6.44516e-29
7	w	w	0	0
7	w	w	1	-1.17033e-29
7	w	w	2	-8.42767e-29
7	w	w	3	-3.13431e-28
8	al	al	0	0.00291797
8	al	al	1	0.071797
8	al	al	2	0.184339
8	al	al	3	0.315805
8	al	d	0	4.60456e-05
8	al	d	1	0.0142085
8	al	n	0	0.0028504
8	al	n	1	0.0754391
8	al	n	2	0.194437
8	al	n	3	0.329144
8	al	w	0	8.53202e-25
8	al	w	1	0.00383571
8	al	w	2	0.0216058
8	al	w	3	0.0653767
8	n	al	0	0.00498393
8	n	al	1	0.0532887
8	n	al	2	0.118045
8	n	al	3	0.183334
8	n	d	0	0.00148973
8	n	d	1	0.0143991
8	n	n	0	0.00694057
8	n	n	1	0.0624789
8	n	n	2	0.130885
8	n	n	3	0.195307
8	n	w	0	3.95577e-06
8	n	w	1	0.00287739
8	n	w	2	0.0136247
8	n	w	3	0.0359013
8	w	al	0	0
8	w	al	1	-1.12384e-31
8	w	al	2	-1.72913e-30
8	w	al	3	-1.07777e-29
8	w	d	0	0
8	w	d	1	4.2173e-26
8	w	n	0	0
8	w	n	1	-3.67113e-32
8	w	n	2	-1.00975e-30
8	w	n	3	-6.42979e-30
8	w	w	0	0
8	w	w	1	-1.18677e-30
8	w	w	2	-7.90907e-30
8	w	w	3	-3.13014e-29
9	al	al	0	0.00247863
9	al	al	1	0.0620682
9	al	al	2	0.165138
9	al	al	3	0.291149
9	al	d	0	3.916e-05
9	al	d	1	0.0122045
9	al	n	0	0.00242518
9	al	n	1	0.0652101
9	al	n	2	0.174161
9	al	n	3	0.303916
9	al	w	0	-1.71938e-26
9	al	w	1	0.00327708
9	al	w	2	0.0180704
9	al	w	3	0.057037
9	n	al	0	0.00427881
9	n	al	1	0.0470274
9	n	al	2	0.108568
9	n	al	3	0.172702
9	n	d	0	0.00128207
9	n	d	1	0.0127454
9	n	n	0	0.00597046
9	n	n	1	0.0553663
9	n	n	2	0.121232
9	n	n	3	0.184946
9	n	w	0	3.38459e-06
9	n	w	1	0.00248505
9	n	w	2	0.01164
9	n	w	3	0.0319838
9	w	al	0	0
9	w	al	1	-1.71554e-31
9	w	al	2	-2.47321e-30
9	w	al	3	-1.61234e-29
9	w	d	0	0
9	w	d	1	3.1326e-26
9	w	n	0	0
9	w	n	1	-5.66123e-32
9	w	n	2	-1.43309e-30
9	w	n	3	-9.60606e-30
9	w	w	0	0
9	w	w	1	-1.81361e-30
9	w	w	2	-1.17155e-29
9	w	w	3	-4.79087e-29
10	al	al	0	0.00177437
10	al	al	1	0.106716
10	al	al	2	0.305747
10	al	al	3	0.491291
10	al	d	0	2.86922e-05
10	al	d	1	0.0219643
10	al	n	0	0.00179121
10	al	n	1	0.113107
10	al	n	2	0.318936
10	al	n	3	0.499558
10	al	w	0	7.83973e-26
10	al	w	1	0.00773422
10	al	w	2	0.0614412
10	al	w	3	0.152025
10	n	al	0	0.00369475
10	n	al	1	0.0887896
10	n	al	2	0.209269
10	n	al	3	0.314312
10	n	d	0	0.00114995
10	n	d	1	0.0231976
10	n	n	0	0.00531884
10	n	n	1	0.102577
10	n	n	2	0.222821
10	n	n	3	0.323641
10	n	w	0	2.7635e-06
10	n	w	1	0.00641203
10	n	w	2	0.0406013
10	n	w	3	0.0954507
10	w	al	0	0
10	w	al	1	-3.91487e-31
10	w	al	2	-9.29501e-30
10	w	al	3	-4.04102e-29
10	w	d	0	0
10	w	d	1	2.30468e-33
10	w	n	0	0
10	w	n	1	-2.16439e-31
10	w	n	2	-5.46932e-30
10	w	n	3	-2.45311e-29
10	w	w	0	0
10	w	w	1	-2.5584e-30
10	w	w	2	-2.77208e-29
10	w	w	3	-7.79833e-29
11	al	al	0	0.00143969
11	al	al	1	0.116053
11	al	al	2	0.329802
11	al	al	3	0.52715
11	al	d	0	2.35457e-05
11	al	d	1	0.0241491
11	al	n	0	0.00147555
11	al	n	1	0.123255
11	al	n	2	0.34249
11	al	n	3	0.533068
11	al	w	0	3.34422e-26
11	al	w	1	0.00943492
11	al	w	2	0.0722866
