WallIDX	Prj	Chrg	Value
61	n	1	0.231643
61	n	2	0.372549
61	n	3	0.385744
61	w	0	0
61	w	1	9.25221e-26
61	w	2	2.93413e-25
61	w	3	1.51563e-24
62	al	0	0.00249264
62	al	1	0.18513
62	al	2	0.170063
62	al	3	0.148737
62	n	0	0.0635646
62	n	1	0.328031
62	n	2	0.265907
62	n	3	0.233033
62	w	0	0
62	w	1	-5.40516e-25
62	w	2	-1.6007e-24
62	w	3	2.05758e-06
63	al	0	0.00230544
63	al	1	0.156712
63	al	2	0.117458
63	al	3	0.0995146
63	n	0	0.0611844
63	n	1	0.245496
63	n	2	0.19178
63	n	3	0.168784
63	w	0	0
63	w	1	5.78992e-23
63	w	2	6.69736e-06
63	w	3	5.2075e-06
64	al	0	0.00324212
64	al	1	0.165287
64	al	2	0.19328
64	al	3	0.181282
64	n	0	0.0772093
64	n	1	0.359576
64	n	2	0.319984
64	n	3	0.281517
64	w	0	0
64	w	1	1.48293e-23
64	w	2	7.27114e-23
64	w	3	8.1342e-07
65	al	0	0.0048885
65	al	1	0.090116
65	al	2	0.172858
65	al	3	0.202272
65	n	0	0.101239
65	n	1	0.30076
65	n	2	0.378266
65	n	3	0.364198
65	w	0	0
65	w	1	4.08406e-25
65	w	2	3.33284e-24
65	w	3	9.79547e-24
66	al	0	0.00486615
66	al	1	0.137442
66	al	2	0.19979
66	al	3	0.202049
66	n	0	0.105927
66	n	1	0.36261
66	n	2	0.354952
66	n	3	0.324819
66	w	0	0
66	w	1	3.19596e-25
66	w	2	2.02883e-24
66	w	3	4.39888e-24
67	al	0	0.00445196
67	al	1	0.155848
67	al	2	0.196288
67	al	3	0.192406
67	n	0	0.102108
67	n	1	0.362477
67	n	2	0.336002
67	n	3	0.301567
67	w	0	0
67	w	1	-1.14159e-24
67	w	2	-6.04932e-24
67	w	3	5.87969e-07
68	al	0	0.00512947
68	al	1	0.101362
68	al	2	0.18066
68	al	3	0.206997
68	n	0	0.106463
68	n	1	0.322968
68	n	2	0.377094
68	n	3	0.359088
68	w	0	0
68	w	1	7.87744e-25
68	w	2	7.51938e-24
68	w	3	1.99066e-23
69	al	0	0.0043129
69	al	1	0.100813
69	al	2	0.182146
69	al	3	0.206239
69	n	0	0.09011
69	n	1	0.322016
69	n	2	0.374626
69	n	3	0.354564
69	w	0	0
69	w	1	1.54624e-25
69	w	2	1.66718e-24
69	w	3	4.38289e-24
70	al	0	0.00223924
70	al	1	0.165877
70	al	2	0.12901
70	al	3	0.106183
70	n	0	0.0594705
70	n	1	0.26172
70	n	2	0.207275
70	n	3	0.177171
70	w	0	0
70	w	1	5.63824e-23
70	w	2	4.56263e-06
70	w	3	6.45814e-06
71	al	0	0.00185482
71	al	1	0.138209
71	al	2	0.100595
71	al	3	0.0797452
71	n	0	0.0501792
71	n	1	0.219864
71	n	2	0.17006
71	n	3	0.143827
71	w	0	0
71	w	1	2.38369e-06
71	w	2	5.22614e-06
71	w	3	1.56708e-06
72	al	0	0.00247966
72	al	1	0.155401
72	al	2	0.195191
