WallIDX	TGTConc	PrjFlux	EroFlux_n_by_w	EroFluxPartial_n_by_w
66	0.333903	-1.85578e-25	-5.39831e-28	-1.61673e-27
67	0.362613	1.20808e-25	-3.42715e-29	-9.45125e-29
68	0.30389	4.73679e-25	5.00435e-28	1.64677e-27
69	0.30831	1.14937e-24	1.03268e-27	3.34948e-27
70	0.447845	-8.28719e-25	-3.71058e-26	-8.28542e-26
71	0.459447	-6.13135e-24	-8.34621e-25	-1.81658e-24
72	0.369455	-1.24633e-24	-4.41466e-27	-1.19491e-26
73	0.234428	-2.39399e-25	-3.7537e-29	-1.60122e-28
74	0.26757	-1.24181e-25	-4.42239e-29	-1.65279e-28
75	0.285587	3.95895e-25	1.0178e-28	3.56387e-28
76	0.268482	8.06047e-26	1.86687e-29	6.95345e-29
77	0.397272	-9.14739e-26	4.58177e-29	1.15331e-28
78	0.44951	-4.15676e-26	-9.49189e-28	-2.11161e-27
79	0.348744	1.57044e-25	4.07618e-28	1.16882e-27
80	0.294448	2.35994e-25	1.33424e-28	4.53133e-28
81	0.297411	6.55517e-25	2.91385e-28	9.79741e-28
82	0.302834	-2.011e-25	-1.68858e-28	-5.57591e-28
83	0.299918	-1.72324e-24	-9.274e-28	-3.09218e-27
84	0.294498	-1.32534e-24	-5.54145e-28	-1.88166e-27
85	0.40868	-1.62293e-25	-5.39811e-27	-1.32087e-26
86	0.438438	-1.04242e-24	-3.29731e-26	-7.52059e-26
87	0.307293	-4.67558e-25	-1.74533e-28	-5.67968e-28
88	0.243318	-1.8846e-25	-3.24021e-29	-1.33168e-28
89	0.267997	-1.15184e-25	-3.6793e-29	-1.37289e-28
90	0.0453882	0.00969082	4.03879e-07	8.89832e-06
91	0.0818756	0.000603572	1.24412e-07	1.51953e-06
92	0.0589568	7.59381e-06	3.91549e-10	6.64129e-09
93	0.00649683	8.57394e-07	2.01432e-13	3.10047e-11
