WallIDX	Charge	al	n	w
52	0	0.0292161	0.0389706	-9.94058e-25
52	1	0.0669737	0.0903502	-1.81137e-24
52	2	0.000882468	0.00098757	-1.70646e-26
52	3	0	1.18025e-05	0
53	0	0.0198854	0.0307114	5.37354e-25
53	1	0.0446294	0.056672	1.00726e-24
53	2	0.000540704	0.000615277	9.61734e-27
53	3	0	0	0
54	0	0.0139695	0.0213674	2.61645e-24
54	1	0.0303201	0.0391404	3.39409e-24
54	2	0.000581566	0.000470048	2.59425e-26
54	3	1.46639e-05	0	-6.32588e-28
55	0	0.0125725	0.0199941	9.03188e-25
55	1	0.0232287	0.0330776	3.40695e-24
55	2	0.000409832	0.000429186	7.29158e-26
55	3	0	0	0
56	0	0.0104155	0.0150024	-4.13439e-26
56	1	0.0163064	0.026477	1.59556e-24
56	2	0.000409497	0.000531291	1.76538e-26
56	3	0	0	0
57	0	0.00404671	0.00712489	-1.1063e-25
57	1	0.00885983	0.011394	4.97045e-25
57	2	0.000183506	0.000142696	3.08332e-27
57	3	0	0	0
58	0	0.00310583	0.00479857	-2.63674e-27
58	1	0.00681404	0.00703911	1.19703e-25
58	2	6.05706e-05	6.52348e-05	2.54936e-35
58	3	0	0	0
59	0	0.00365028	0.00469176	1.64453e-36
59	1	0.00750174	0.00820061	9.22736e-26
59	2	0.000246127	0.000277276	-7.07018e-27
59	3	0	0	0
60	0	0.0111551	0.0142563	-1.60373e-25
60	1	0.0244712	0.0278885	-1.57678e-25
60	2	0.000743794	0.000494107	-1.81133e-27
60	3	0	0	0
61	0	0.0107622	0.0160447	-5.48578e-27
61	1	0.0234112	0.0249325	-4.71894e-26
61	2	0.00021427	0.000285483	2.82184e-28
61	3	0	0	0
62	0	0.0315211	0.041206	7.97233e-26
62	1	0.0577858	0.0827549	1.26528e-25
62	2	0.000977989	0.00143616	7.47841e-29
62	3	6.73222e-06	0	-2.12707e-37
63	0	0.047633	0.0544197	2.15956e-25
63	1	0.113155	0.141556	5.83089e-25
63	2	0.00122954	0.00205583	-1.9842e-27
63	3	0	0	0
64	0	0.0306534	0.0434526	3.01391e-25
64	1	0.0658152	0.0906781	6.05477e-25
64	2	0.000709994	0.000932458	2.20197e-27
64	3	0	0	0
65	0	0.0213421	0.0310605	6.80961e-26
65	1	0.0443039	0.0597237	1.23921e-25
65	2	0.000423508	0.000425809	1.36663e-27
65	3	0	0	0
66	0	0.0346534	0.0434744	-1.04537e-26
66	1	0.0887012	0.113177	-1.6938e-25
66	2	0.000824053	0.00129045	-5.74425e-27
66	3	0	0	0
67	0	0.0370975	0.0512835	7.72218e-26
67	1	0.111511	0.146916	5.63726e-26
67	2	0.00124228	0.00134799	-1.27863e-26
67	3	0	0	0
68	0	0.0231247	0.0333668	2.55765e-26
68	1	0.0509838	0.0700131	4.32366e-25
68	2	0.000776438	0.000514675	1.57363e-26
68	3	0	0	0
69	0	0.0190136	0.0288886	1.11626e-25
69	1	0.0397276	0.0553872	1.0361e-24
69	2	0.000515161	0.000248195	1.65035e-27
69	3	0	0	0
70	0	0.0328781	0.0439599	-4.58062e-25
70	1	0.0796588	0.103331	-3.79351e-25
70	2	0.00119014	0.000939012	8.69386e-27
70	3	2.5068e-06	0	-3.13576e-39
71	0	0.0250148	0.0302808	-2.12512e-24
71	1	0.05719	0.0788826	-4.00294e-24
71	2	0.00114413	0.00100095	-3.29032e-27
71	3	4.0745e-23	-7.93006e-23	0
72	0	0.00928082	0.0145819	-4.22639e-25
72	1	0.0200158	0.0252561	-8.17526e-25
72	2	0.000429134	0.000599559	-6.16815e-27
72	3	0	0	0
73	0	0.00358424	0.00537602	-2.43101e-26
73	1	0.00964826	0.00860586	-2.19769e-25
73	2	0.000180793	7.72223e-05	4.68058e-27
73	3	0	0	0
74	0	0.00379041	0.00492221	-4.69369e-36
74	1	0.00894211	0.00981151	-1.24701e-25
74	2	0.00026781	7.958e-05	5.20725e-28
74	3	0	0	0
75	0	0.0105274	0.0138104	2.50826e-25
75	1	0.0276739	0.0307097	1.40806e-25
75	2	0.000617825	0.000304989	4.26228e-27
75	3	0	0	0
76	0	0.0108787	0.0160841	3.41288e-26
76	1	0.0283546	0.0274075	4.62189e-26
76	2	0.000205014	0.000295673	2.56978e-28
76	3	0	0	0
77	0	0.0254227	0.0377927	-7.88974e-26
77	1	0.0530206	0.0765769	-1.7492e-26
77	2	0.00100268	0.00110561	4.91556e-27
77	3	0	0	0
78	0	0.0427698	0.0583908	-2.2685e-26
78	1	0.0999475	0.138922	-2.47605e-26
78	2	0.00148265	0.00266822	5.87798e-27
78	3	0	2.39987e-05	0
79	0	0.0250133	0.038892	4.11116e-26
79	1	0.0561225	0.0789501	1.12431e-25
79	2	0.00079728	0.000829275	3.50179e-27
79	3	0	0	0
80	0	0.0190832	0.0280468	6.19128e-26
80	1	0.046602	0.0555277	1.72464e-25
80	2	0.000565169	0.000170926	1.61696e-27
80	3	0	0	0
81	0	0.022102	0.0329042	3.21993e-25
81	1	0.055787	0.0676544	3.31789e-25
81	2	0.000854486	0.000523577	1.73531e-27
81	3	0	0	0
82	0	0.0237965	0.036038	-2.859e-26
82	1	0.0584682	0.0774537	-1.70641e-25
82	2	0.000638181	0.00060804	-1.86922e-27
82	3	0	0	0
83	0	0.019268	0.027408	-7.44313e-25
83	1	0.0469012	0.0622845	-9.57919e-25
83	2	0.000816661	0.000436611	-2.10038e-26
83	3	0	0	0
84	0	0.0147066	0.0228933	-5.13971e-25
84	1	0.0363616	0.0433274	-8.018e-25
84	2	0.000328306	0.000371022	-9.56921e-27
84	3	0	0	0
85	0	0.0229072	0.0321147	9.84733e-26
85	1	0.0520595	0.0689327	-2.47221e-25
85	2	0.000820356	0.000804619	-1.35453e-26
85	3	0	0	0
86	0	0.0181312	0.0269658	-4.40176e-25
86	1	0.042067	0.06149	-5.93908e-25
86	2	0.00091628	0.000820171	-8.33312e-27
86	3	4.23946e-06	0	-5.87013e-39
87	0	0.00579506	0.00953935	-1.06131e-25
87	1	0.0144975	0.0184429	-3.57346e-25
87	2	0.000151868	0.000301752	-4.08175e-27
87	3	0	0	0
88	0	0.00318757	0.00483574	-2.79339e-26
88	1	0.00954991	0.00990576	-1.58156e-25
88	2	0.000164029	9.0377e-05	-2.3699e-27
88	3	0	0	0
89	0	0.00325511	0.00468579	-4.49844e-34
89	1	0.00922772	0.00987851	-1.23014e-25
89	2	0.000425893	0.000232623	7.83013e-27
89	3	0	0	0
90	0	0	0	0
90	1	2.22766	3.69098	0.0093543
90	2	0.489656	0.903066	0.000336516
90	3	0.02357	0.0396616	-6.17211e-25
91	0	0	0	0
91	1	0.116461	0.19039	0.000539285
91	2	0.0650751	0.115689	6.42872e-05
91	3	0.00220847	0.00428979	-5.97911e-26
92	0	0	0	0
92	1	0.00167599	0.00227647	7.50641e-06
92	2	0.00091436	0.00143478	8.74073e-08
92	3	2.24636e-05	3.60875e-05	2.18937e-27
93	0	0	0	0
93	1	0.000184592	0.000212564	8.57394e-07
93	2	3.65588e-05	5.99271e-05	-1.69006e-28
93	3	7.06524e-07	8.12881e-07	-1.84646e-38
