WallIDX	TGTConc	PrjFlux	EroFlux_al_by_w	EroFluxPartial_al_by_w
83	0.700082	-1.69029e-24	-3.29459e-27	-4.706e-27
84	0.705502	-2.40759e-24	-3.32512e-27	-4.71312e-27
85	0.59132	-2.94446e-24	-5.77429e-26	-9.76509e-26
86	0.561562	-3.88131e-24	-1.59854e-25	-2.8466e-25
87	0.692707	-1.5002e-24	-1.61358e-27	-2.32939e-27
88	0.756682	-5.94216e-25	-5.27346e-28	-6.96919e-28
89	0.732003	-3.8647e-25	-5.98597e-28	-8.17751e-28
90	0.129616	0.00969082	5.61679e-06	4.33341e-05
91	0.18419	0.000603572	8.44923e-07	4.58725e-06
92	0.125783	7.59381e-06	3.03951e-09	2.41647e-08
93	0.0114746	8.57394e-07	3.33425e-12	2.90576e-10
