WallIDX	TGTConc	PrjFlux	EroFlux_w_by_n	EroFluxPartial_w_by_n
63	-8.02974e-22	0.198031	-9.03943e-50	1.12574e-28
64	1.53193e-22	0.135063	2.25815e-52	1.47405e-30
65	-9.68705e-22	0.09121	3.96256e-54	-4.09057e-33
66	1.19766e-21	0.157942	3.31436e-52	2.76735e-31
67	-3.53845e-21	0.199547	8.20499e-51	-2.31881e-30
68	2.81051e-22	0.103895	7.8835e-55	2.80501e-33
69	-1.7905e-22	0.084524	3.74086e-54	-2.08929e-32
70	5.71088e-23	0.148229	-1.82229e-51	-3.19091e-29
71	-5.01208e-22	0.110164	-1.21026e-48	2.41468e-27
72	2.14676e-23	0.0404376	-3.64924e-54	-1.69988e-31
73	4.18128e-24	0.0140591	-2.68572e-58	-6.42321e-35
74	9.94172e-25	0.0148133	-7.91633e-59	-7.96274e-35
75	1.08613e-22	0.0448251	1.31528e-54	1.21098e-32
76	-4.23675e-22	0.0437872	2.69128e-55	-6.35223e-34
77	1.82498e-20	0.115475	2.96473e-50	1.62453e-30
78	7.03857e-22	0.200005	5.99659e-50	8.51961e-29
79	-6.2136e-23	0.118671	2.0564e-54	-3.30952e-32
80	-6.21695e-23	0.0837455	1.92084e-55	-3.08968e-33
81	1.6202e-22	0.101082	3.18499e-54	1.9658e-32
82	7.73232e-23	0.1141	-2.56512e-56	-3.3174e-34
83	-2.9467e-24	0.090129	-1.50954e-55	5.12283e-32
84	7.25243e-23	0.0665918	6.22835e-55	8.58795e-33
85	-1.52619e-21	0.101852	3.24934e-51	-2.12905e-30
86	7.11833e-23	0.089276	-6.76558e-52	-9.50445e-30
87	1.32493e-23	0.028284	-1.17875e-56	-8.8967e-34
88	4.96979e-24	0.0148319	-3.15707e-58	-6.35251e-35
89	5.19486e-24	0.0147969	-3.80329e-58	-7.32125e-35
90	0.824996	4.63371	0.00312725	0.00379062
91	0.733935	0.310369	0.000408811	0.000557013
92	0.81526	0.00374733	2.20371e-06	2.70308e-06
93	0.982029	0.000273304	1.46068e-07	1.48741e-07
