WallIDX	Prj	Chrg	Value
13	al	0	0.00185379
13	al	1	0.0237122
13	al	2	0.0705356
13	al	3	0.113507
13	n	0	0.0709806
13	n	1	0.165425
13	n	2	0.279437
13	n	3	0.335352
13	w	0	0
13	w	1	0
13	w	2	0
13	w	3	0
14	al	0	0.00213582
14	al	1	0.035585
14	al	2	0.0895321
14	al	3	0.135941
14	n	0	0.0790433
14	n	1	0.194335
14	n	2	0.325692
14	n	3	0.343354
14	w	0	0
14	w	1	0
14	w	2	0
14	w	3	0
15	al	0	0.00258805
15	al	1	0.0546219
15	al	2	0.115768
15	al	3	0.152078
15	n	0	0.0919711
15	n	1	0.240688
15	n	2	0.336158
15	n	3	0.338318
15	w	0	0
15	w	1	0
15	w	2	0
15	w	3	0
16	al	0	0.00217538
16	al	1	0.0380758
16	al	2	0.0933138
16	al	3	0.140264
16	n	0	0.0801742
16	n	1	0.2004
16	n	2	0.328148
16	n	3	0.34438
16	w	0	0
16	w	1	0
16	w	2	0
16	w	3	0
17	al	0	0.00192713
17	al	1	0.0436188
17	al	2	0.106425
17	al	3	0.148524
17	n	0	0.0730774
17	n	1	0.213896
17	n	2	0.332825
17	n	3	0.340142
17	w	0	0
17	w	1	0
17	w	2	0
17	w	3	0
18	al	0	0.00193814
18	al	1	0.0753216
18	al	2	0.147772
18	al	3	0.168689
18	n	0	0.0733921
18	n	1	0.29109
18	n	2	0.340528
18	n	3	0.32178
18	w	0	0
18	w	1	0
18	w	2	0
18	w	3	0
19	al	0	0.00219824
19	al	1	0.0580642
19	al	2	0.127318
19	al	3	0.15983
19	n	0	0.0808274
19	n	1	0.24907
19	n	2	0.340278
19	n	3	0.33434
19	w	0	0
19	w	1	0
19	w	2	0
19	w	3	0
20	al	0	0.00256218
20	al	1	0.0701411
20	al	2	0.140874
20	al	3	0.167754
20	n	0	0.0912317
20	n	1	0.278476
20	n	2	0.344067
20	n	3	0.330274
20	w	0	0
20	w	1	0
20	w	2	0
20	w	3	0
21	al	0	0.00279657
21	al	1	0.110551
21	al	2	0.168312
21	al	3	0.169646
21	n	0	0.0979322
21	n	1	0.334297
21	n	2	0.329847
21	n	3	0.301333
21	w	0	0
21	w	1	0
21	w	2	0
21	w	3	0
22	al	0	0.00280975
22	al	1	0.141066
22	al	2	0.169149
22	al	3	0.162293
22	n	0	0.098309
22	n	1	0.343969
22	n	2	0.311953
22	n	3	0.277738
22	w	0	0
22	w	1	0
22	w	2	0
22	w	3	0
23	al	0	0.00270511
23	al	1	0.0698833
23	al	2	0.139908
23	al	3	0.165907
23	n	0	0.0953174
23	n	1	0.277848
23	n	2	0.344563
23	n	3	0.331222
23	w	0	0
23	w	1	0
23	w	2	0
23	w	3	0
24	al	0	0.00231065
24	al	1	0.0507871
24	al	2	0.113192
24	al	3	0.151363
24	n	0	0.0840412
24	n	1	0.231351
24	n	2	0.335239
24	n	3	0.338685
24	w	0	0
24	w	1	0
24	w	2	0
24	w	3	0
25	al	0	0.00188447
25	al	1	0.0448441
25	al	2	0.109147
25	al	3	0.150214
25	n	0	0.0718577
25	n	1	0.21688
25	n	2	0.333796
25	n	3	0.339275
25	w	0	0
25	w	1	0
25	w	2	0
25	w	3	0
26	al	0	0.00161909
26	al	1	0.0400873
26	al	2	0.104814
26	al	3	0.148451
26	n	0	0.0642712
26	n	1	0.205298
26	n	2	0.332251
26	n	3	0.340179
26	w	0	0
26	w	1	0
26	w	2	0
26	w	3	0
27	al	0	0.00161676
27	al	1	0.026241
27	al	2	0.0795845
27	al	3	0.126878
27	n	0	0.0642047
27	n	1	0.171583
27	n	2	0.30147
27	n	3	0.340122
27	w	0	0
27	w	1	0
27	w	2	0
27	w	3	0
28	al	0	0.00184093
28	al	1	0.0231709
28	al	2	0.0696696
28	al	3	0.112484
28	n	0	0.0706132
28	n	1	0.164108
28	n	2	0.277328
28	n	3	0.334987
28	w	0	0
28	w	1	0
28	w	2	0
28	w	3	0
29	al	0	0.00212595
29	al	1	0.0351691
29	al	2	0.0888668
29	al	3	0.135155
29	n	0	0.078761
29	n	1	0.193322
29	n	2	0.324071
29	n	3	0.343074
29	w	0	0
29	w	1	0
29	w	2	0
29	w	3	0
30	al	0	0.00259216
30	al	1	0.054795
30	al	2	0.116005
30	al	3	0.152203
30	n	0	0.0920885
30	n	1	0.24111
30	n	2	0.336243
30	n	3	0.338254
30	w	0	0
30	w	1	0
30	w	2	0
30	w	3	0
31	al	0	0.00217593
31	al	1	0.0385882
31	al	2	0.094186
31	al	3	0.140766
31	n	0	0.0801898
31	n	1	0.201647
31	n	2	0.328459
31	n	3	0.344122
31	w	0	0
31	w	1	0
31	w	2	0
31	w	3	0
32	al	0	0.00192817
32	al	1	0.0480767
32	al	2	0.114068
32	al	3	0.152933
32	n	0	0.0731071
32	n	1	0.224751
32	n	2	0.335552
32	n	3	0.337879
32	w	0	0
32	w	1	0
32	w	2	0
32	w	3	0
33	al	0	0.00193983
33	al	1	0.0688451
33	al	2	0.143481
33	al	3	0.168475
33	n	0	0.0734403
33	n	1	0.27532
33	n	2	0.342729
33	n	3	0.326366
33	w	0	0
33	w	1	0
33	w	2	0
33	w	3	0
34	al	0	0.00219952
34	al	1	0.066021
34	al	2	0.140169
34	al	3	0.167705
34	n	0	0.0808641
34	n	1	0.268444
34	n	2	0.344429
34	n	3	0.330299
34	w	0	0
34	w	1	0
34	w	2	0
34	w	3	0
35	al	0	0.00256251
35	al	1	0.0717241
35	al	2	0.141919
35	al	3	0.168339
35	n	0	0.0912409
35	n	1	0.28233
35	n	2	0.343531
35	n	3	0.329269
35	w	0	0
35	w	1	0
35	w	2	0
35	w	3	0
36	al	0	0.00279685
36	al	1	0.0855124
36	al	2	0.149729
36	al	3	0.168707
36	n	0	0.0979401
36	n	1	0.315904
36	n	2	0.339523
36	n	3	0.321391
36	w	0	0
36	w	1	0
36	w	2	0
36	w	3	0
37	al	0	0.00280963
37	al	1	0.102698
37	al	2	0.162391
37	al	3	0.169339
37	n	0	0.0983055
37	n	1	0.331496
37	n	2	0.333026
37	n	3	0.307893
37	w	0	0
37	w	1	0
37	w	2	0
37	w	3	0
38	al	0	0.00270577
38	al	1	0.0727629
38	al	2	0.141808
38	al	3	0.16832
38	n	0	0.0953365
38	n	1	0.28486
38	n	2	0.343588
38	n	3	0.329671
38	w	0	0
38	w	1	0
38	w	2	0
38	w	3	0
39	al	0	0.00231119
39	al	1	0.0610548
39	al	2	0.130821
39	al	3	0.161538
39	n	0	0.0840566
39	n	1	0.256352
39	n	2	0.341528
39	n	3	0.333464
39	w	0	0
39	w	1	0
39	w	2	0
39	w	3	0
40	al	0	0.00188459
40	al	1	0.0864129
40	al	2	0.155402
40	al	3	0.169075
40	n	0	0.0718612
40	n	1	0.318097
40	n	2	0.336612
40	n	3	0.313525
40	w	0	0
40	w	1	0
40	w	2	0
40	w	3	0
41	al	0	0.00162067
41	al	1	0.094232
41	al	2	0.162492
41	al	3	0.169454
41	n	0	0.0643163
41	n	1	0.328476
41	n	2	0.332974
41	n	3	0.305429
41	w	0	0
41	w	1	0
41	w	2	0
41	w	3	0
42	al	0	0.00161824
42	al	1	0.0354796
42	al	2	0.0969116
42	al	3	0.143892
42	n	0	0.0642471
42	n	1	0.194078
42	n	2	0.329431
42	n	3	0.342519
42	w	0	0
42	w	1	0
42	w	2	0
42	w	3	0
43	al	0	0.00184113
43	al	1	0.0231793
43	al	2	0.0696831
43	al	3	0.1125
43	n	0	0.0706188
43	n	1	0.164128
43	n	2	0.277361
43	n	3	0.334992
43	w	0	0
43	w	1	0
43	w	2	0
43	w	3	0
44	al	0	0.00212799
44	al	1	0.0352552
44	al	2	0.0890044
44	al	3	0.135317
44	n	0	0.0788194
44	n	1	0.193532
44	n	2	0.324407
44	n	3	0.343132
44	w	0	0
44	w	1	0
44	w	2	0
44	w	3	0
45	al	0	0.0025952
45	al	1	0.0549233
45	al	2	0.116182
45	al	3	0.152297
45	n	0	0.0921756
45	n	1	0.241422
45	n	2	0.336306
45	n	3	0.338206
45	w	0	0
45	w	1	0
45	w	2	0
45	w	3	0
46	al	0	0.00218759
46	al	1	0.0393584
46	al	2	0.0953403
46	al	3	0.1414
46	n	0	0.0805231
46	n	1	0.203523
46	n	2	0.328871
46	n	3	0.343797
46	w	0	0
46	w	1	0
46	w	2	0
46	w	3	0
47	al	0	0.00193985
47	al	1	0.0596547
47	al	2	0.133787
47	al	3	0.164283
47	n	0	0.0734408
47	n	1	0.252942
47	n	2	0.342586
47	n	3	0.332055
47	w	0	0
47	w	1	0
47	w	2	0
47	w	3	0
48	al	0	0.00195323
48	al	1	0.0815955
48	al	2	0.151835
48	al	3	0.168891
48	n	0	0.0738233
48	n	1	0.306366
48	n	2	0.338443
48	n	3	0.31747
48	w	0	0
48	w	1	0
48	w	2	0
48	w	3	0
49	al	0	0.00221147
49	al	1	0.0674462
49	al	2	0.141045
49	al	3	0.168328
49	n	0	0.0812057
49	n	1	0.271914
49	n	2	0.343979
49	n	3	0.329507
49	w	0	0
49	w	1	0
49	w	2	0
49	w	3	0
50	al	0	0.00257333
50	al	1	0.0601171
50	al	2	0.125419
50	al	3	0.15769
50	n	0	0.0915503
50	n	1	0.254068
50	n	2	0.339601
50	n	3	0.335438
50	w	0	0
50	w	1	0
50	w	2	0
50	w	3	0
51	al	0	0.00279907
51	al	1	0.0774431
51	al	2	0.144383
51	al	3	0.16844
51	n	0	0.0980037
51	n	1	0.296256
51	n	2	0.342267
51	n	3	0.327106
51	w	0	0
51	w	1	0
51	w	2	0
51	w	3	0
52	al	0	0.00280879
52	al	1	0.0917679
52	al	2	0.153983
52	al	3	0.168919
52	n	0	0.0982815
52	n	1	0.327596
52	n	2	0.33734
52	n	3	0.316871
52	w	0	0
52	w	1	0
52	w	2	0
52	w	3	0
53	al	0	0.00271504
53	al	1	0.0709228
53	al	2	0.14054
53	al	3	0.166827
53	n	0	0.0956015
53	n	1	0.280379
53	n	2	0.344238
53	n	3	0.33075
53	w	0	0
53	w	1	0
53	w	2	0
53	w	3	0
54	al	0	0.00232477
54	al	1	0.0579812
54	al	2	0.125345
54	al	3	0.158339
54	n	0	0.0844448
54	n	1	0.248868
54	n	2	0.339575
54	n	3	0.335105
54	w	0	0
54	w	1	0
54	w	2	0
54	w	3	0
55	al	0	0.00189628
55	al	1	0.0793888
55	al	2	0.150694
55	al	3	0.168839
55	n	0	0.0721954
55	n	1	0.300993
55	n	2	0.339028
55	n	3	0.318577
55	w	0	0
55	w	1	0
55	w	2	0
55	w	3	0
56	al	0	0.00163319
56	al	1	0.114238
56	al	2	0.168622
56	al	3	0.167445
56	n	0	0.0646745
56	n	1	0.335612
56	n	2	0.323216
56	n	3	0.290119
56	w	0	0
56	w	1	0
56	w	2	0
56	w	3	0
57	al	0	0.0016319
57	al	1	0.0355744
57	al	2	0.0968771
57	al	3	0.143834
57	n	0	0.0646375
57	n	1	0.194309
57	n	2	0.329419
57	n	3	0.342548
57	w	0	0
57	w	1	0
57	w	2	0
57	w	3	0
58	al	0	0.00185629
58	al	1	0.0238175
58	al	2	0.0707041
58	al	3	0.113706
58	n	0	0.0710522
58	n	1	0.165682
58	n	2	0.279847
58	n	3	0.335423
58	w	0	0
58	w	1	0
58	w	2	0
58	w	3	0
59	al	0	0.00213724
59	al	1	0.0356446
59	al	2	0.0896275
59	al	3	0.136053
59	n	0	0.0790838
59	n	1	0.19448
59	n	2	0.325924
59	n	3	0.343395
59	w	0	0
59	w	1	0
59	w	2	0
59	w	3	0
60	al	0	0.00258024
60	al	1	0.0542931
60	al	2	0.115316
60	al	3	0.151838
60	n	0	0.0917479
60	n	1	0.239888
60	n	2	0.335997
60	n	3	0.338441
60	w	0	0
60	w	1	0
60	w	2	0
60	w	3	0
61	al	0	0.00216339
61	al	1	0.0373816
61	al	2	0.0922947
61	al	3	0.139709
61	n	0	0.0798313
61	n	1	0.198709
61	n	2	0.327784
61	n	3	0.344665
61	w	0	0
61	w	1	0
61	w	2	0
61	w	3	0
62	al	0	0.00191272
62	al	1	0.168616
62	al	2	0.155853
62	al	3	0.136745
62	n	0	0.0726652
62	n	1	0.323339
62	n	2	0.263448
62	n	3	0.232984
62	w	0	0
62	w	1	0
62	w	2	0
62	w	3	1.14116e-06
63	al	0	0.00192331
63	al	1	0.148198
63	al	2	0.110774
63	al	3	0.0935297
63	n	0	0.072968
63	n	1	0.249554
63	n	2	0.197849
63	n	3	0.175963
63	w	0	0
63	w	1	0
63	w	2	4.38814e-06
63	w	3	3.41198e-06
64	al	0	0.00218712
64	al	1	0.142318
64	al	2	0.169348
64	al	3	0.159602
64	n	0	0.0805098
64	n	1	0.343326
64	n	2	0.307701
64	n	3	0.271268
64	w	0	0
64	w	1	0
64	w	2	0
64	w	3	0
65	al	0	0.00255139
65	al	1	0.0657334
65	al	2	0.135384
65	al	3	0.163503
65	n	0	0.0909232
65	n	1	0.267744
65	n	2	0.343156
65	n	3	0.332455
65	w	0	0
65	w	1	0
65	w	2	0
65	w	3	0
66	al	0	0.00279304
66	al	1	0.108337
66	al	2	0.166824
66	al	3	0.169562
66	n	0	0.0978311
66	n	1	0.333507
66	n	2	0.330751
66	n	3	0.303125
66	w	0	0
66	w	1	0
66	w	2	0
66	w	3	0
67	al	0	0.00281087
67	al	1	0.130168
67	al	2	0.168812
67	al	3	0.166114
67	n	0	0.098341
67	n	1	0.341295
67	n	2	0.319153
67	n	3	0.286922
67	w	0	0
67	w	1	0
67	w	2	0
67	w	3	0
68	al	0	0.00268863
68	al	1	0.0742728
68	al	2	0.142902
68	al	3	0.168376
68	n	0	0.0948463
68	n	1	0.288536
68	n	2	0.343027
68	n	3	0.328469
68	w	0	0
68	w	1	0
68	w	2	0
68	w	3	0
69	al	0	0.00228989
69	al	1	0.0743199
69	al	2	0.145152
69	al	3	0.168526
69	n	0	0.0834476
69	n	1	0.288651
69	n	2	0.341872
69	n	3	0.325275
69	w	0	0
69	w	1	0
69	w	2	0
69	w	3	0
70	al	0	0.00187085
70	al	1	0.156574
70	al	2	0.121888
70	al	3	0.100004
70	n	0	0.0714683
70	n	1	0.264756
70	n	2	0.212884
70	n	3	0.183965
70	w	0	0
70	w	1	0
70	w	2	2.99867e-06
70	w	3	4.24444e-06
71	al	0	0.00160854
71	al	1	0.132308
71	al	2	0.0959119
71	al	3	0.0756654
71	n	0	0.0639697
71	n	1	0.226981
71	n	2	0.178908
71	n	3	0.153883
71	w	0	0
71	w	1	1.69594e-06
71	w	2	3.71828e-06
71	w	3	1.11494e-06
72	al	0	0.00160384
72	al	1	0.130945
72	al	2	0.169056
72	al	3	0.162504
72	n	0	0.0638352
72	n	1	0.341572
72	n	2	0.313943
72	n	3	0.278245
72	w	0	0
72	w	1	0
72	w	2	0
72	w	3	0
73	al	0	0.00182843
73	al	1	0.0226445
73	al	2	0.0688274
73	al	3	0.11149
73	n	0	0.0702557
73	n	1	0.162826
73	n	2	0.275277
73	n	3	0.334632
73	w	0	0
73	w	1	0
73	w	2	0
73	w	3	0
74	al	0	0.00211655
74	al	1	0.0347734
74	al	2	0.0882336
74	al	3	0.134407
74	n	0	0.0784922
74	n	1	0.192359
74	n	2	0.32253
74	n	3	0.342807
74	w	0	0
74	w	1	0
74	w	2	0
74	w	3	0
75	al	0	0.00259243
75	al	1	0.0548065
75	al	2	0.116021
75	al	3	0.152212
75	n	0	0.0920964
75	n	1	0.241137
75	n	2	0.336248
75	n	3	0.338249
75	w	0	0
75	w	1	0
75	w	2	0
75	w	3	0
76	al	0	0.00217701
76	al	1	0.0379611
76	al	2	0.0930932
76	al	3	0.140132
76	n	0	0.0802208
76	n	1	0.20012
76	n	2	0.328069
76	n	3	0.344448
76	w	0	0
76	w	1	0
76	w	2	0
76	w	3	0
77	al	0	0.00192162
77	al	1	0.149068
77	al	2	0.169847
77	al	3	0.153763
77	n	0	0.0729198
77	n	1	0.339862
77	n	2	0.297037
77	n	3	0.259655
77	w	0	0
77	w	1	0
77	w	2	0
77	w	3	0
78	al	0	0.00192893
78	al	1	0.160211
78	al	2	0.126786
78	al	3	0.102872
78	n	0	0.0731288
78	n	1	0.272734
78	n	2	0.21951
78	n	3	0.18751
78	w	0	0
78	w	1	0
78	w	2	2.38631e-06
78	w	3	4.6132e-06
79	al	0	0.00218867
79	al	1	0.110605
79	al	2	0.168426
79	al	3	0.169873
79	n	0	0.0805539
79	n	1	0.334316
79	n	2	0.327408
79	n	3	0.296471
79	w	0	0
79	w	1	0
79	w	2	0
79	w	3	0
80	al	0	0.00255205
80	al	1	0.0602839
80	al	2	0.126014
80	al	3	0.158092
80	n	0	0.0909418
80	n	1	0.254474
80	n	2	0.339813
80	n	3	0.335232
80	w	0	0
80	w	1	0
80	w	2	0
80	w	3	0
81	al	0	0.0027957
81	al	1	0.068121
81	al	2	0.135952
81	al	3	0.163151
81	n	0	0.0979074
81	n	1	0.273557
81	n	2	0.343359
81	n	3	0.332636
81	w	0	0
81	w	1	0
81	w	2	0
81	w	3	0
82	al	0	0.00281026
82	al	1	0.0725051
82	al	2	0.141056
82	al	3	0.167337
82	n	0	0.0983235
82	n	1	0.284232
82	n	2	0.343974
82	n	3	0.330488
82	w	0	0
82	w	1	0
82	w	2	0
82	w	3	0
83	al	0	0.00269643
83	al	1	0.068783
83	al	2	0.138525
83	al	3	0.164913
83	n	0	0.0950694
83	n	1	0.275169
83	n	2	0.344276
83	n	3	0.331732
83	w	0	0
83	w	1	0
83	w	2	0
83	w	3	0
84	al	0	0.00230107
84	al	1	0.0536964
84	al	2	0.118328
84	al	3	0.154354
84	n	0	0.0837673
84	n	1	0.238434
84	n	2	0.337071
84	n	3	0.33715
84	w	0	0
84	w	1	0
84	w	2	0
84	w	3	0
85	al	0	0.0018768
85	al	1	0.163439
85	al	2	0.162957
85	al	3	0.143822
85	n	0	0.0716384
85	n	1	0.332488
85	n	2	0.279333
85	n	3	0.242558
85	w	0	0
85	w	1	0
85	w	2	0
85	w	3	2.5639e-07
86	al	0	0.00161081
86	al	1	0.169735
86	al	2	0.140991
86	al	3	0.119305
86	n	0	0.0640345
86	n	1	0.299438
86	n	2	0.238728
86	n	3	0.20939
86	w	0	0
86	w	1	0
86	w	2	6.10347e-07
86	w	3	3.3216e-06
87	al	0	0.0016061
87	al	1	0.0370851
87	al	2	0.0998452
87	al	3	0.145619
87	n	0	0.0638998
87	n	1	0.197988
87	n	2	0.330478
87	n	3	0.341632
87	w	0	0
87	w	1	0
87	w	2	0
87	w	3	0
88	al	0	0.00183171
88	al	1	0.0227824
88	al	2	0.069048
88	al	3	0.11175
88	n	0	0.0703494
88	n	1	0.163162
88	n	2	0.275814
88	n	3	0.334725
88	w	0	0
88	w	1	0
88	w	2	0
88	w	3	0
89	al	0	0.00211976
89	al	1	0.0349086
89	al	2	0.0884499
89	al	3	0.134662
89	n	0	0.0785841
89	n	1	0.192688
89	n	2	0.323056
89	n	3	0.342898
89	w	0	0
89	w	1	0
89	w	2	0
89	w	3	0
90	al	0	0.192763
90	al	1	0.492386
90	al	2	0.538002
90	al	3	0.51544
90	n	0	0.26599
90	n	1	0.60042
90	n	2	0.586852
90	n	3	0.56716
90	w	0	0
90	w	1	5.12664e-06
90	w	2	1.59574e-05
90	w	3	0.000179897
91	al	0	0.21831
91	al	1	0.509616
91	al	2	0.532389
91	al	3	0.504669
91	n	0	0.301242
91	n	1	0.600105
91	n	2	0.578237
91	n	3	0.560083
91	w	0	0
91	w	1	6.6896e-06
91	w	2	2.10433e-05
91	w	3	0.000286191
92	al	0	0.172429
92	al	1	0.478672
92	al	2	0.542446
92	al	3	0.524068
92	n	0	0.237932
92	n	1	0.60067
92	n	2	0.593752
92	n	3	0.572799
92	w	0	0
92	w	1	3.88258e-06
92	w	2	1.26918e-05
92	w	3	9.90344e-05
93	al	0	0.172429
93	al	1	0.478672
93	al	2	0.542446
93	al	3	0.524068
93	n	0	0.237932
93	n	1	0.60067
93	n	2	0.593752
93	n	3	0.572799
93	w	0	0
93	w	1	3.88258e-06
93	w	2	1.26918e-05
93	w	3	9.90344e-05
