VarInfo	ResiduumInfo	Residuum	Value	AbsTol
CWw48	Residuum equation #146(Solvar: CWw48)	0	1.31134e-22	1e-06
CALw49	Residuum equation #147(Solvar: CALw49)	-4.44089e-16	0.695331	1e-06
CNw49	Residuum equation #148(Solvar: CNw49)	-5.55112e-17	0.304669	1e-06
CWw49	Residuum equation #149(Solvar: CWw49)	1.17549e-37	8.76137e-23	1e-06
CALw50	Residuum equation #150(Solvar: CALw50)	5.55112e-16	0.701589	1e-06
CNw50	Residuum equation #151(Solvar: CNw50)	0	0.298411	1e-06
CWw50	Residuum equation #152(Solvar: CWw50)	5.17218e-37	3.0993e-22	1e-06
CALw51	Residuum equation #153(Solvar: CALw51)	-2.22045e-16	0.696429	1e-06
CNw51	Residuum equation #154(Solvar: CNw51)	-5.55112e-17	0.30357	1e-06
CWw51	Residuum equation #155(Solvar: CWw51)	-3.76158e-37	-1.5552e-21	1e-06
CALw52	Residuum equation #156(Solvar: CALw52)	0	0.692155	1e-06
CNw52	Residuum equation #157(Solvar: CNw52)	2.22045e-16	0.307845	1e-06
CWw52	Residuum equation #158(Solvar: CWw52)	1.05324e-35	-1.13127e-20	1e-06
CALw53	Residuum equation #159(Solvar: CALw53)	3.33067e-16	0.699085	1e-06
CNw53	Residuum equation #160(Solvar: CNw53)	1.66533e-16	0.300915	1e-06
CWw53	Residuum equation #161(Solvar: CWw53)	-3.76158e-37	-1.91576e-21	1e-06
CALw54	Residuum equation #162(Solvar: CALw54)	-8.88178e-16	0.701672	1e-06
CNw54	Residuum equation #163(Solvar: CNw54)	-6.66134e-16	0.298328	1e-06
CWw54	Residuum equation #164(Solvar: CWw54)	7.12643e-38	-5.30346e-24	1e-06
CALw55	Residuum equation #165(Solvar: CALw55)	-1.11022e-16	0.686236	1e-06
CNw55	Residuum equation #166(Solvar: CNw55)	3.88578e-16	0.313764	1e-06
CWw55	Residuum equation #167(Solvar: CWw55)	-4.11423e-38	2.7244e-23	1e-06
CALw56	Residuum equation #168(Solvar: CALw56)	-5.55112e-16	0.640729	1e-06
CNw56	Residuum equation #169(Solvar: CNw56)	5.55112e-17	0.359271	1e-06
CWw56	Residuum equation #170(Solvar: CWw56)	9.40395e-38	8.50235e-23	1e-06
CALw57	Residuum equation #171(Solvar: CALw57)	6.66134e-16	0.703442	1e-06
CNw57	Residuum equation #172(Solvar: CNw57)	-2.22045e-16	0.296557	1e-06
CWw57	Residuum equation #173(Solvar: CWw57)	-5.87747e-39	2.6756e-23	1e-06
CALw58	Residuum equation #174(Solvar: CALw58)	-7.77156e-16	0.7507	1e-06
CNw58	Residuum equation #175(Solvar: CNw58)	3.05311e-16	0.2493	1e-06
CWw58	Residuum equation #176(Solvar: CWw58)	4.4081e-39	5.65276e-24	1e-06
CALw59	Residuum equation #177(Solvar: CALw59)	-3.33067e-16	0.730691	1e-06
CNw59	Residuum equation #178(Solvar: CNw59)	2.22045e-16	0.269309	1e-06
CWw59	Residuum equation #179(Solvar: CWw59)	1.46937e-39	5.16842e-24	1e-06
CALw60	Residuum equation #180(Solvar: CALw60)	1.11022e-16	0.713932	1e-06
CNw60	Residuum equation #181(Solvar: CNw60)	2.22045e-16	0.286068	1e-06
CWw60	Residuum equation #182(Solvar: CWw60)	-1.17549e-37	-1.45037e-22	1e-06
CALw61	Residuum equation #183(Solvar: CALw61)	1.11022e-16	0.724473	1e-06
CNw61	Residuum equation #184(Solvar: CNw61)	1.11022e-16	0.275527	1e-06
CWw61	Residuum equation #185(Solvar: CWw61)	9.40395e-38	1.19352e-22	1e-06
CALw62	Residuum equation #186(Solvar: CALw62)	-2.22045e-16	0.580306	1e-06
