WallIDX	TGTConc	PrjFlux	EroFlux_w_by_al	EroFluxPartial_w_by_al
79	-6.49551e-23	0.0819331	6.78279e-55	-1.04423e-32
80	5.86789e-22	0.0662504	4.64328e-54	7.91302e-33
81	3.52565e-22	0.0787435	-2.46829e-53	-7.00095e-32
82	6.58186e-23	0.0829029	7.49753e-56	1.13912e-33
83	9.11866e-22	0.0669858	9.8265e-54	1.07763e-32
84	-2.51781e-23	0.0513965	4.78331e-55	-1.89979e-32
85	-6.74299e-22	0.0757871	-2.41234e-51	3.57755e-30
86	2.79199e-22	0.0611187	-6.28405e-52	-2.25074e-30
87	1.08997e-22	0.0204444	-3.02118e-56	-2.77182e-34
88	4.24698e-23	0.0129015	-1.76568e-57	-4.1575e-35
89	2.51833e-23	0.0129087	-1.64256e-57	-6.52242e-35
90	0.824996	2.74088	0.00624367	0.00756812
91	0.733935	0.183745	0.000649692	0.000885218
92	0.81526	0.00261281	5.27393e-06	6.46902e-06
93	0.982029	0.000221858	5.24829e-07	5.34433e-07
