WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
83	45.000	69.536	0.500	0.500	0.000	0.0101746	0.0101746
61	45.000	70.043	0.500	0.500	0.000	0.0104044	0.0104044
23	45.000	70.248	0.500	0.500	0.000	0.0105911	0.0105911
6	45.000	70.408	0.500	0.500	0.000	0.0107304	0.0107304
76	45.000	70.483	0.500	0.500	0.000	0.0108013	0.0108013
34	45.000	70.522	0.500	0.500	0.000	0.0108358	0.0108358
16	45.000	70.626	0.500	0.500	0.000	0.010925	0.010925
7	45.000	70.840	0.500	0.500	0.000	0.0111204	0.0111204
53	45.000	70.912	0.500	0.500	0.000	0.011184	0.011184
31	45.000	71.152	0.500	0.500	0.000	0.011396	0.011396
20	45.000	71.262	0.500	0.500	0.000	0.0114974	0.0114974
1	45.000	71.378	0.500	0.500	0.000	0.0116013	0.0116013
49	45.000	71.442	0.500	0.500	0.000	0.0116574	0.0116574
82	45.000	71.454	0.500	0.500	0.000	0.0116682	0.0116682
22	45.000	71.464	0.500	0.500	0.000	0.0116772	0.0116772
46	45.000	71.814	0.500	0.500	0.000	0.0119908	0.0119908
38	45.000	72.244	0.500	0.500	0.000	0.0123737	0.0123737
35	45.000	72.356	0.500	0.500	0.000	0.0124776	0.0124776
64	45.000	72.773	0.500	0.500	0.000	0.0128524	0.0128524
68	45.000	73.386	0.500	0.500	0.000	0.0133998	0.0133998
33	45.000	73.992	0.500	0.500	0.000	0.0139436	0.0139436
57	45.000	74.361	0.500	0.500	0.000	0.0142741	0.0142741
42	45.000	74.425	0.500	0.500	0.000	0.0143284	0.0143284
51	45.000	74.936	0.500	0.500	0.000	0.0147894	0.0147894
69	45.000	75.746	0.500	0.500	0.000	0.0155112	0.0155112
87	45.000	76.236	0.500	0.500	0.000	0.0159491	0.0159491
18	45.000	78.490	0.500	0.500	0.000	0.0179694	0.0179694
26	45.000	79.199	0.500	0.500	0.000	0.0186066	0.0186066
17	45.000	79.276	0.500	0.500	0.000	0.0186748	0.0186748
77	45.000	79.844	0.500	0.500	0.000	0.0191854	0.0191854
