WK	Angle	Energy	AL	N	W	RYield+Offset	RYield
50	45.000	64.252	0.702	0.298	-0.000	0.37632	0.37632
80	45.000	64.494	0.706	0.294	-0.000	0.377438	0.377438
27	45.000	64.841	0.718	0.282	-0.000	0.380703	0.380703
19	45.000	65.018	0.698	0.302	-0.000	0.375964	0.375964
9	45.000	65.090	0.702	0.298	0.000	0.37702	0.37702
67	45.000	66.169	0.637	0.363	-0.000	0.362477	0.362477
39	45.000	66.432	0.705	0.295	-0.000	0.37872	0.37872
72	45.000	66.481	0.631	0.369	0.000	0.361105	0.361105
5	45.000	66.794	0.698	0.302	-0.000	0.377299	0.377299
12	45.000	66.973	0.726	0.274	0.000	0.383975	0.383975
47	45.000	67.628	0.688	0.312	0.000	0.375451	0.375451
74	45.000	67.881	0.732	0.268	-0.000	0.386172	0.386172
89	45.000	67.980	0.732	0.268	0.000	0.386142	0.386142
29	45.000	68.178	0.733	0.267	0.000	0.38656	0.38656
44	45.000	68.244	0.733	0.267	0.000	0.38657	0.38657
65	45.000	68.270	0.698	0.302	-0.000	0.378266	0.378266
14	45.000	68.497	0.731	0.269	-0.000	0.386273	0.386273
81	45.000	68.502	0.703	0.297	0.000	0.379603	0.379603
59	45.000	68.541	0.731	0.269	-0.000	0.386218	0.386218
8	45.000	69.044	0.704	0.296	0.000	0.380321	0.380321
83	45.000	69.536	0.700	0.300	0.000	0.379762	0.379762
61	45.000	70.043	0.724	0.276	0.000	0.385744	0.385744
23	45.000	70.248	0.699	0.301	0.000	0.379602	0.379602
6	45.000	70.408	0.701	0.299	0.000	0.379949	0.379949
76	45.000	70.483	0.732	0.268	-0.000	0.387108	0.387108
34	45.000	70.522	0.698	0.302	-0.000	0.379388	0.379388
16	45.000	70.626	0.733	0.267	-0.000	0.387269	0.387269
7	45.000	70.840	0.698	0.302	-0.000	0.379134	0.379134
53	45.000	70.912	0.699	0.301	-0.000	0.379303	0.379303
31	45.000	71.152	0.731	0.269	-0.000	0.3865	0.3865
20	45.000	71.262	0.694	0.306	-0.000	0.377881	0.377881
1	45.000	71.378	0.728	0.272	-0.000	0.385695	0.385695
49	45.000	71.442	0.695	0.305	-0.000	0.378106	0.378106
82	45.000	71.454	0.697	0.303	0.000	0.378525	0.378525
22	45.000	71.464	0.628	0.372	-0.000	0.36237	0.36237
46	45.000	71.814	0.728	0.272	0.000	0.385543	0.385543
38	45.000	72.244	0.699	0.301	-0.000	0.378498	0.378498
35	45.000	72.356	0.699	0.301	0.000	0.378406	0.378406
64	45.000	72.773	0.619	0.381	0.000	0.359576	0.359576
68	45.000	73.386	0.696	0.304	0.000	0.377094	0.377094
33	45.000	73.992	0.690	0.310	0.000	0.375383	0.375383
57	45.000	74.361	0.703	0.297	0.000	0.378194	0.378194
42	45.000	74.425	0.709	0.291	0.000	0.37956	0.37956
51	45.000	74.936	0.696	0.304	0.000	0.376217	0.376217
69	45.000	75.746	0.692	0.308	-0.000	0.374626	0.374626
87	45.000	76.236	0.693	0.307	0.000	0.374564	0.374564
