WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
88	45.000	42.720	0.757	0.243	0.000	0.0456883	0.0456883
28	45.000	42.936	0.760	0.240	0.000	0.0455344	0.0455344
43	45.000	42.944	0.761	0.239	0.000	0.0453955	0.0453955
23	45.000	43.011	0.699	0.301	0.000	0.0553489	0.0553489
20	45.000	43.101	0.694	0.306	-0.000	0.0562881	0.0562881
13	45.000	43.240	0.756	0.244	0.000	0.0467709	0.0467709
58	45.000	43.296	0.751	0.249	-0.000	0.0476512	0.0476512
6	45.000	43.366	0.701	0.299	0.000	0.0557962	0.0557962
53	45.000	43.372	0.699	0.301	-0.000	0.0560421	0.0560421
7	45.000	43.609	0.698	0.302	-0.000	0.0566949	0.0566949
35	45.000	43.649	0.699	0.301	0.000	0.0566387	0.0566387
82	45.000	43.920	0.697	0.303	0.000	0.0575207	0.0575207
38	45.000	44.011	0.699	0.301	-0.000	0.0573893	0.0573893
68	45.000	44.532	0.696	0.304	0.000	0.0590062	0.0590062
69	45.000	44.549	0.692	0.308	-0.000	0.0597814	0.0597814
18	45.000	44.896	0.690	0.310	-0.000	0.0607483	0.0607483
51	45.000	45.629	0.696	0.304	0.000	0.0613055	0.0613055
55	45.000	46.305	0.686	0.314	0.000	0.0645705	0.0645705
27	45.000	46.370	0.718	0.282	-0.000	0.0589968	0.0589968
48	45.000	47.069	0.682	0.318	-0.000	0.0671254	0.0671254
12	45.000	47.818	0.726	0.274	0.000	0.0604699	0.0604699
36	45.000	48.423	0.692	0.308	-0.000	0.0681303	0.0681303
40	45.000	48.734	0.693	0.307	-0.000	0.0685984	0.0685984
74	45.000	49.368	0.732	0.268	-0.000	0.0621777	0.0621777
89	45.000	49.440	0.732	0.268	0.000	0.0624057	0.0624057
29	45.000	49.584	0.733	0.267	0.000	0.0624419	0.0624419
44	45.000	49.632	0.733	0.267	0.000	0.0625629	0.0625629
14	45.000	49.816	0.731	0.269	-0.000	0.0633136	0.0633136
59	45.000	49.848	0.731	0.269	-0.000	0.0634513	0.0634513
4	45.000	50.471	0.684	0.316	0.000	0.0745399	0.0745399
52	45.000	50.686	0.692	0.308	-0.000	0.0733705	0.0733705
61	45.000	50.900	0.724	0.276	0.000	0.0671497	0.0671497
76	45.000	51.220	0.732	0.268	-0.000	0.0664198	0.0664198
16	45.000	51.312	0.733	0.267	-0.000	0.0664002	0.0664002
31	45.000	51.664	0.731	0.269	-0.000	0.0676287	0.0676287
