WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
82	45.000	43.920	0.500	0.500	0.000	0.025493	0.025493
38	45.000	44.011	0.500	0.500	0.000	0.0255777	0.0255777
68	45.000	44.532	0.500	0.500	0.000	0.0260735	0.0260735
69	45.000	44.549	0.500	0.500	0.000	0.026089	0.026089
18	45.000	44.896	0.500	0.500	0.000	0.026418	0.026418
51	45.000	45.629	0.500	0.500	0.000	0.0271147	0.0271147
55	45.000	46.305	0.500	0.500	0.000	0.0277537	0.0277537
48	45.000	47.069	0.500	0.500	0.000	0.0284785	0.0284785
36	45.000	48.423	0.500	0.500	0.000	0.0297649	0.0297649
40	45.000	48.734	0.500	0.500	0.000	0.0300606	0.0300606
4	45.000	50.471	0.500	0.500	0.000	0.0316405	0.0316405
52	45.000	50.686	0.500	0.500	0.000	0.0318135	0.0318135
41	45.000	51.681	0.500	0.500	0.000	0.0326143	0.0326143
2	45.000	52.794	0.500	0.500	0.000	0.0335114	0.0335114
10	45.000	54.299	0.500	0.500	0.000	0.034726	0.034726
37	45.000	55.094	0.500	0.500	0.000	0.0353659	0.0353659
11	45.000	57.197	0.500	0.500	0.000	0.0370624	0.0370624
66	45.000	57.368	0.500	0.500	0.000	0.0371988	0.0371988
21	45.000	58.258	0.500	0.500	0.000	0.0379184	0.0379184
79	45.000	58.281	0.500	0.500	0.000	0.037936	0.037936
56	45.000	59.745	0.500	0.500	0.000	0.0391167	0.0391167
67	45.000	66.169	0.500	0.500	0.000	0.0442941	0.0442941
72	45.000	66.481	0.500	0.500	0.000	0.0445467	0.0445467
22	45.000	71.464	0.500	0.500	0.000	0.048167	0.048167
64	45.000	72.773	0.500	0.500	0.000	0.0488708	0.0488708
77	45.000	79.844	0.500	0.500	0.000	0.0526641	0.0526641
85	45.000	94.902	0.500	0.500	0.000	0.0607404	0.0607404
62	45.000	109.786	0.500	0.500	0.000	0.0665611	0.0665611
3	45.000	117.824	0.500	0.500	0.000	0.0690947	0.0690947
86	45.000	144.956	0.500	0.500	0.000	0.0776493	0.0776493
78	45.000	190.282	0.500	0.500	0.000	0.0846538	0.0846538
70	45.000	205.419	0.500	0.500	0.000	0.0865322	0.0865322
63	45.000	240.309	0.500	0.500	0.000	0.0902148	0.0902148
71	45.000	334.799	0.500	0.500	0.000	0.0903632	0.0903632
