 SDTrimSP: VERSION 6.00    16.03.2022
D -> Al2O3                                                                      
           1       number species of projectiles
 DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT(1): D    
         500        100000.     50.000          number of depth ,nproj,e_tot [MeV]
         [A]    [number]    [number]       [MeV]       [MeV]       [MeV]       [MeV]    [number]    [number]    [number]
DEPTH/LENGTH       STOPS  PATHLENGTH   NUCL.LOSS  ELECT.LOSS NUC.LOSS<ED NUC.LOSS>ED  FRENKEL P.  NUM.COLL.      NRT-DPA
  1.1900E+02  8.0200E+02  1.1000E+01  1.2597E-01  6.7132E-02  5.7283E-02  6.4812E-02  4.9604E+03  0.0000E+00  4.0667E+03
  1.2100E+02  7.7200E+02  1.3000E+01  1.1946E-01  6.2527E-02  5.3668E-02  6.2104E-02  4.6660E+03  0.0000E+00  3.9071E+03
  1.2300E+02  7.0700E+02  1.2000E+01  1.0937E-01  5.7601E-02  5.0069E-02  5.5888E-02  4.2056E+03  0.0000E+00  3.4817E+03
  1.2500E+02  6.8700E+02  1.9000E+01  1.0423E-01  5.3852E-02  4.6753E-02  5.4151E-02  3.9785E+03  0.0000E+00  3.3121E+03
  1.2700E+02  6.3900E+02  2.3000E+01  9.8301E-02  5.0325E-02  4.4700E-02  5.0437E-02  3.7757E+03  0.0000E+00  3.1140E+03
  1.2900E+02  6.0300E+02  3.0000E+01  9.2574E-02  4.6444E-02  4.2170E-02  4.7472E-02  3.5717E+03  0.0000E+00  2.9552E+03
  1.3100E+02  6.1100E+02  3.2000E+01  8.4129E-02  4.2554E-02  3.9165E-02  4.2150E-02  3.1903E+03  0.0000E+00  2.6563E+03
  1.3300E+02  5.7500E+02  3.7000E+01  7.8251E-02  3.8735E-02  3.6734E-02  3.8858E-02  2.9906E+03  0.0000E+00  2.4666E+03
  1.3500E+02  5.3800E+02  5.3000E+01  7.2133E-02  3.5255E-02  3.3650E-02  3.5983E-02  2.7395E+03  0.0000E+00  2.2588E+03
  1.3700E+02  5.2300E+02  4.6000E+01  6.4252E-02  3.2303E-02  3.1181E-02  3.0705E-02  2.3819E+03  0.0000E+00  1.9601E+03
  1.3900E+02  4.4600E+02  5.7000E+01  6.1102E-02  2.9747E-02  2.9128E-02  2.9799E-02  2.2964E+03  0.0000E+00  1.9034E+03
  1.4100E+02  4.5200E+02  6.7000E+01  5.6947E-02  2.6952E-02  2.7365E-02  2.7520E-02  2.1379E+03  0.0000E+00  1.7399E+03
  1.4300E+02  4.1400E+02  4.8000E+01  5.1592E-02  2.4554E-02  2.5184E-02  2.4516E-02  1.9160E+03  0.0000E+00  1.5679E+03
  1.4500E+02  4.1000E+02  8.4000E+01  4.6770E-02  2.2181E-02  2.2711E-02  2.2302E-02  1.7068E+03  0.0000E+00  1.3884E+03
  1.4700E+02  3.4500E+02  1.0900E+02  4.2112E-02  2.0179E-02  2.1404E-02  1.9065E-02  1.5189E+03  0.0000E+00  1.2177E+03
  1.4900E+02  3.3900E+02  1.1500E+02  3.9097E-02  1.8370E-02  1.9397E-02  1.8180E-02  1.4180E+03  0.0000E+00  1.1568E+03
  1.5100E+02  3.2800E+02  1.3400E+02  3.6270E-02  1.6714E-02  1.8028E-02  1.6818E-02  1.3256E+03  0.0000E+00  1.0820E+03
  1.5300E+02  3.2300E+02  1.6200E+02  3.3601E-02  1.5368E-02  1.6783E-02  1.5485E-02  1.2126E+03  0.0000E+00  9.9068E+02
  1.5500E+02  2.9800E+02  1.7300E+02  2.9453E-02  1.3865E-02  1.4955E-02  1.3260E-02  1.0482E+03  0.0000E+00  8.5799E+02
  1.5700E+02  2.3700E+02  1.8200E+02  2.6862E-02  1.2152E-02  1.3457E-02  1.2320E-02  9.6597E+02  0.0000E+00  7.9460E+02
  1.5900E+02  2.0200E+02  2.3100E+02  2.4295E-02  1.1201E-02  1.2169E-02  1.1144E-02  8.6964E+02  0.0000E+00  7.0669E+02
  1.6100E+02  2.3600E+02  2.5400E+02  2.2039E-02  9.9532E-03  1.1728E-02  9.3498E-03  7.8232E+02  0.0000E+00  6.1868E+02
  1.6300E+02  2.1300E+02  2.7400E+02  2.0505E-02  8.8065E-03  1.0295E-02  9.3497E-03  7.2387E+02  0.0000E+00  5.9029E+02
  1.6500E+02  1.7400E+02  2.9900E+02  1.8101E-02  7.8725E-03  9.5038E-03  7.8269E-03  6.4936E+02  0.0000E+00  5.1036E+02
  1.6700E+02  1.4700E+02  3.2900E+02  1.6095E-02  7.0600E-03  8.5321E-03  6.8617E-03  5.6821E+02  0.0000E+00  4.6189E+02
  1.6900E+02  1.4200E+02  3.6300E+02  1.4394E-02  6.3019E-03  7.5289E-03  6.2384E-03  4.7779E+02  0.0000E+00  3.9477E+02
  1.7100E+02  1.5000E+02  4.0200E+02  1.2459E-02  5.5799E-03  6.8216E-03  5.0267E-03  4.2409E+02  0.0000E+00  3.3992E+02
  1.7300E+02  1.2700E+02  4.3300E+02  1.1296E-02  4.9339E-03  6.2085E-03  4.5637E-03  3.8138E+02  0.0000E+00  2.9968E+02
  1.7500E+02  1.1300E+02  4.2300E+02  9.9678E-03  4.3503E-03  5.4822E-03  4.0063E-03  3.1224E+02  0.0000E+00  2.5872E+02
